K	P
log_volume	0.357735340195029	0.001
log_surface	0.360687249130734	0.001
svratio	0.340295378799769	0.021
volume	0.422473414392467	0.04
surface	0.307181763160563	0.202
genome	2.09746955845	0.001
gc	3.71095664946913	0.001
proteins	1.91708246504593	0.001
coding	1.57563716623688	0.001
rrnas	0.221472145991062	0.001
log_svratio	0.378179845464892	0.001
log_genome	3.05030083617791	0.001
log_proteins	2.51035234861501	0.001
MILC	1.79323509071412	0.001
ENCprime	2.07633187242186	0.001
hash	0.154830732665737	0.169
