taxid	length	width	volume	surface	family	order	class	phylum	superkingdom
126	1.284740272800446	1.284740272800446	1.1103109856884716	5.185379531700565	Planctomycetaceae	Planctomycetales	Planctomycetia	Planctomycetes	Bacteria
137	20.55521948694705	0.3520329659946884	1.985754883381372	22.732925355902015	Spirochaetaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
170	8.56647862020274	0.10887289708566034	0.07936826984920106	2.9300294640089497	Leptospiraceae	Leptospirales	Spirochaetia	Spirochaetes	Bacteria
809	0.5477225575051662	0.5477225575051662	0.08603605814318219	0.9424777960769384	Chlamydiaceae	Chlamydiales	Chlamydiia	Chlamydiae	Bacteria
2092	0.49443933524866757	0.17448225355350408	0.01031036189595755	0.2710279925452007	Mycoplasmataceae	Mycoplasmatales	Mollicutes	Tenericutes	Bacteria
2131	3.4331180826118337	0.1449981325585217	0.05517313920575119	1.56387134813709	Spiroplasmataceae	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria
2146	3.1622776601683795	0.3	0.2164596525098353	2.9803764797388297	Acholeplasmataceae	Acholeplasmatales	Mollicutes	Tenericutes	Bacteria
33925	0.47174613513768276	0.33134203790443456	0.028680084394352438	0.49106022958962803	Entomoplasmataceae	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria
92712	1.3273374412771695	1.3273374412771695	1.224454516514479	5.53493548107693	Simkaniaceae	Parachlamydiales	Chlamydiia	Chlamydiae	Bacteria
92713	0.5536458913036575	0.5536458913036575	0.08885765876316731	0.9629728332736603	Parachlamydiaceae	Parachlamydiales	Chlamydiia	Chlamydiae	Bacteria
92714	0.316227766016838	0.316227766016838	0.016557647109660175	0.31415926535897937	Waddliaceae	Parachlamydiales	Chlamydiia	Chlamydiae	Bacteria
134623	0.7135242690016328	0.7135242690016328	0.19020628804255652	1.5994378577370123	Opitutaceae	Opitutales	Opitutae	Verrucomicrobia	Bacteria
143786	4.69041575982343	0.28284271247461906	0.28878366994931715	4.1677936304377265	Brachyspiraceae	Brachyspirales	Spirochaetia	Spirochaetes	Bacteria
186333	0.8714947155090512	0.8714947155090512	0.34657154017254344	2.3860491682048117	Anaeroplasmataceae	Anaeroplasmatales	Mollicutes	Tenericutes	Bacteria
203488	17.32050807568877	0.34641016151377546	1.6215366316253903	18.849555921538762	Dictyoglomaceae	Dictyoglomales	Dictyoglomia	Dictyoglomi	Bacteria
203492	2.555707732687077	0.6341437085332923	0.7140090639089745	5.091535167078092	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
203557	3.9284986400316426	0.645195012148216	1.1988082947619445	7.962830681030029	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
204431	1.2649110640673518	0.34641016151377546	0.1083322630041479	1.376576930290914	Fibrobacteraceae	Fibrobacterales	Fibrobacteria	Fibrobacteres	Bacteria
204434	1.3362039971366577	0.5383563270955295	0.2615934497582088	2.2599168526405893	Acidobacteriaceae	Acidobacteriales	Acidobacteriia	Acidobacteria	Bacteria
219687	2.8284271247461903	0.7	0.9987091298336916	6.220036113421714	Gemmatimonadaceae	Gemmatimonadales	Gemmatimonadetes	Gemmatimonadetes	Bacteria
255528	0.8062257748298549	0.8062257748298549	0.27439023856185624	2.042035224833366	Victivallaceae	Victivallales	Lentisphaeria	Lentisphaerae	Bacteria
412447	0.7071067811865476	0.7071067811865476	0.18512012242326534	1.5707963267948968	Criblamydiaceae	Parachlamydiales	Chlamydiia	Chlamydiae	Bacteria
574976	1.5650845800732873	0.24322992790977876	0.06764483107828849	1.1959270701511662	Holophagaceae	Holophagales	Holophagae	Acidobacteria	Bacteria
689704	1.0	0.32339218190420044	0.07232105350501769	1.01596650289861	Rhabdochlamydiaceae	Parachlamydiales	Chlamydiia	Chlamydiae	Bacteria
1100104	4.4721359549995805	0.2449489742783178	0.20689679244073625	3.4414423257272846	Brevinemataceae	Brevinematales	Spirochaetia	Spirochaetes	Bacteria
1129771	7.547507380816416	0.8148675670439909	3.790652398987433	19.321482755019826	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteria	Bacteria
1643685	11.208085512166742	0.35492969413225994	1.097036092397149	12.497514325849826	Borreliaceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
1648490	0.6928203230275509	0.6928203230275509	0.1741247389664849	1.5079644737231006	Rubritaleaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	Bacteria
1763524	2.783157683713741	2.783157683713741	11.287871585478298	24.334672055841672	Isosphaeraceae	Isosphaerales	Planctomycetia	Planctomycetes	Bacteria
1914233	2.0493901531919194	2.0493901531919194	4.506844334724896	13.194689145077128	Gemmataceae	Gemmatales	Planctomycetia	Planctomycetes	Bacteria
2691357	1.778279410038923	1.120263379657263	1.380147674944089	6.258496478852291	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria
2845253	8.671161939673718	0.24728076132029184	0.4115087361798777	6.736239177742654	Treponemataceae	Spirochaetales	Spirochaetia	Spirochaetes	Bacteria
