taxid	length	width	volume	surface	phylum	superkingdom
976	2.2253201037173347	0.5143717463278961	0.41813701328299374	3.5959982318197596	Bacteroidetes	Bacteria
1117	3.8452557186345406	3.804286588516878	29.22121279043126	45.956646006818694	Cyanobacteria	Bacteria
1224	1.810535123680356	0.6301803634502007	0.48969425685735285	3.5844431222643625	Proteobacteria	Bacteria
1239	2.764251205380957	0.6802040020683674	0.8971383399245512	5.906994454884084	Firmicutes	Bacteria
1297	2.10389132646105	1.00177025842021	1.30919236133426	6.621270181284903	Deinococcus-Thermus	Bacteria
28889	1.9652031693479093	0.9047943208253904	0.9509680420314098	5.58608055882806	Crenarchaeota	Archaea
28890	1.9138633087649488	0.7806398827116401	0.7316739564366146	4.693658895714381	Euryarchaeota	Archaea
32066	2.7171431064822897	0.5960181201464558	0.6731091276568134	5.087704142369624	Fusobacteria	Bacteria
40117	3.350368958834508	0.34641016151377546	0.30432420530069954	3.6461382524904526	Nitrospirae	Bacteria
57723	1.8085354154908213	0.6235555448867068	0.4801889085423111	3.5428440504111283	Acidobacteria	Bacteria
65842	1.2649110640673518	0.34641016151377546	0.1083322630041479	1.376576930290914	Fibrobacteres	Bacteria
67814	4.95	0.3	0.3428262983229862	4.665265090580842	Caldiserica	Bacteria
67819	2.7386127875258306	0.5916079783099616	0.6986065964643196	5.089961841984629	Armatimonadetes	Bacteria
68297	13.160740129524926	0.41195342878142355	1.7339583919197203	17.032496497858244	Dictyoglomi	Bacteria
74201	1.4293053149195907	0.7292575936383813	0.4727702269658443	3.274581782643634	Verrucomicrobia	Bacteria
142182	3.534118843049396	0.6292692567291578	1.0300823158564933	6.986626661900559	Gemmatimonadetes	Bacteria
192989	0.4	0.4	0.03351032163829113	0.5026548245743669	Nanoarchaeota	Archaea
200783	1.8307935074996566	0.4755787773842296	0.29376447134145345	2.7353424311708032	Aquificae	Bacteria
200795	7.994853271248861	0.4670281988207633	1.2114944881724703	11.730147523447483	Chloroflexi	Bacteria
200918	2.6291670967500305	0.6693060539599819	0.8220897903145069	5.528315428164656	Thermotogae	Bacteria
200930	2.308667154536208	0.4045391320890646	0.27813501578854993	2.9340785426920473	Deferribacteres	Bacteria
200938	3.741657386773941	0.12247448713915889	0.043599406408210535	1.4396586137792406	Chrysiogenetes	Bacteria
200940	1.4217842556092037	0.5240921009721671	0.2660863837585448	2.340944877914135	Thermodesulfobacteria	Bacteria
201174	1.3415521730827842	0.5911898488072937	0.3027687345872133	2.491634915523699	Actinobacteria	Bacteria
203682	1.7707327059128388	1.5618990376697792	2.3658731522447582	8.688720738440281	Planctomycetes	Bacteria
203691	10.313332551147033	0.25618489572297687	0.5241904999835305	8.30046485784119	Spirochaetes	Bacteria
204428	0.6689093073995175	0.5900553340859005	0.12576921565721436	1.239966215258851	Chlamydiae	Bacteria
256845	0.864003606105582	0.864003606105582	0.33771106284536156	2.3452059259398017	Lentisphaerae	Bacteria
508458	2.9705101942901346	0.7142571613250063	1.0701338315016036	6.665542828398362	Synergistetes	Bacteria
544448	0.7808480349797149	0.19683540873713257	0.020633477430148966	0.48285821081307584	Tenericutes	Bacteria
651137	0.7208434242404262	0.2736785217080362	0.03680294950362839	0.6197713966545495	Thaumarchaeota	Archaea
1134404	4.723156822715971	0.2719393264843193	0.26768467331013107	4.035099571200831	Ignavibacteriae	Bacteria
1853220	8.563390382741252	0.5544265176609817	1.9932551819121036	14.915561581186438	Rhodothermaeota	Bacteria
1930617	6.619501839293746	0.2449489742783178	0.30808497821317854	5.0939045758454045	Calditrichaeota	Bacteria
1936987	2.75039525083473	0.36475202516074723	0.2676248199740394	3.1516841960579867	Balneolaeota	Bacteria
